,year,selling_price,km_driven,fuel,seller_type,transmission,owner,selling_price_log,km_driven_log
163,2010,2550000,40000,Petrol,Individual,Automatic,Second Owner,14.751604309291395,10.596659732783579
164,2013,260000,70000,Petrol,Individual,Manual,Second Owner,12.468440756144114,11.156264806643742
165,2017,550000,60000,Petrol,Individual,Manual,First Owner,13.217675375388819,11.002116507732017
166,2011,150000,155500,Diesel,Individual,Manual,First Owner,11.918397239722838,11.954407441448915
167,2011,350000,50000,Petrol,Individual,Automatic,Second Owner,12.765691290604371,10.819798284210286
168,2016,320000,40000,Petrol,Individual,Manual,First Owner,12.676079399771027,10.596659732783579
169,2015,400000,100000,Diesel,Individual,Manual,Third Owner,12.899222326086994,11.51293546492023
170,2012,175000,80000,Petrol,Individual,Manual,Third Owner,12.07254696717504,11.289794413577894
171,2011,120000,90000,Petrol,Individual,Manual,Second Owner,11.695255355062795,11.407576060361786
172,2013,320000,90000,Diesel,Individual,Manual,Second Owner,12.676079399771027,11.407576060361786
173,2006,70000,110000,Petrol,Individual,Manual,Third Owner,11.156264806643742,11.608244735642321
174,2019,810000,15000,Petrol,Individual,Manual,First Owner,13.60479076121576,9.61587214452889
175,2007,95000,100000,Petrol,Individual,Manual,Second Owner,11.461642696843066,11.51293546492023
176,2020,282000,40000,CNG,Individual,Manual,First Owner,12.549665896013254,10.596659732783579
177,2004,80000,60000,Petrol,Individual,Manual,Second Owner,11.289794413577894,11.002116507732017
178,2013,72000,25000,Petrol,Individual,Manual,First Owner,11.184435286790631,10.12667110305036
179,2016,600000,25000,Petrol,Individual,Manual,First Owner,13.304686600863562,10.12667110305036
180,2015,640000,23000,Petrol,Individual,Manual,First Owner,13.369225017834633,10.043292972227004
181,2018,380000,22155,Petrol,Individual,Manual,First Owner,12.847929163278053,10.005863619152995
182,2018,650000,70000,Petrol,Individual,Manual,First Owner,13.384729180332174,11.156264806643742
183,2009,150000,60000,Petrol,Individual,Manual,Second Owner,11.918397239722838,11.002116507732017
184,2009,280000,110000,Petrol,Individual,Manual,Second Owner,12.54254845357358,11.608244735642321
185,2018,430000,30000,Petrol,Individual,Manual,First Owner,12.971542813248437,10.308985993422082
186,2019,800000,15000,Diesel,Individual,Manual,First Owner,13.592368256649284,9.61587214452889
187,2003,75000,100000,Diesel,Individual,Manual,Second Owner,11.225256725762893,11.51293546492023
188,2016,650000,70000,Diesel,Individual,Automatic,First Owner,13.384729180332174,11.156264806643742
189,2017,390000,24000,Petrol,Individual,Manual,First Owner,12.873904582205107,10.085850775128717
190,2005,100000,120000,Petrol,Individual,Manual,Second Owner,11.51293546492023,11.695255355062795
191,2013,1500000,35000,Diesel,Individual,Automatic,First Owner,14.220976332738882,10.463131911491967
192,2007,175000,78380,Petrol,Individual,Manual,First Owner,12.07254696717504,11.269336830028958
193,2012,434999,110000,Diesel,Individual,Manual,Second Owner,12.983101310070822,11.608244735642321
194,2010,170000,90000,Diesel,Individual,Manual,Third Owner,12.04355959836804,11.407576060361786
195,2011,190000,90000,Diesel,Individual,Manual,Third Owner,12.154784614286667,11.407576060361786
196,2009,250000,150000,Diesel,Individual,Manual,Third Owner,12.429220196836383,11.918397239722838
197,2009,229999,230000,Diesel,Individual,Manual,Third Owner,12.345834587905333,12.345838935721968
198,2006,140000,70000,Petrol,Individual,Manual,Third Owner,11.849404844423074,11.156264806643742
199,2017,600000,80362,Diesel,Individual,Manual,First Owner,13.304686600863562,11.294309150238021
200,2012,280000,110000,Petrol,Individual,Manual,Third Owner,12.54254845357358,11.608244735642321
201,2012,150000,60000,Diesel,Individual,Manual,First Owner,11.918397239722838,11.002116507732017
202,2015,650000,50000,Diesel,Individual,Automatic,First Owner,13.384729180332174,10.819798284210286
203,2014,210000,40000,Petrol,Individual,Manual,Second Owner,12.25486757159303,10.596659732783579
204,2017,2900000,40000,Diesel,Individual,Automatic,First Owner,14.88022163978423,10.596659732783579
205,2013,425000,20000,Diesel,Dealer,Manual,First Owner,12.959846800844963,9.90353755128617
206,2014,265000,55000,Petrol,Dealer,Manual,First Owner,12.487488878546145,10.915106645867503
207,2018,890000,1136,Petrol,Dealer,Manual,First Owner,13.698977865303197,7.036148493750536
208,2013,365000,55000,Petrol,Dealer,Manual,First Owner,12.807655372286902,10.915106645867503
209,2014,350000,43000,Petrol,Dealer,Manual,First Owner,12.765691290604371,10.668978650219241
210,2016,685000,60000,Diesel,Individual,Manual,First Owner,13.437175577097312,11.002116507732017
211,2018,940000,2650,Diesel,Dealer,Manual,First Owner,13.753636218075409,7.8826922062890254
212,2017,1000000,40000,Diesel,Individual,Manual,First Owner,13.815511557963774,10.596659732783579
213,2019,1150000,15000,Petrol,Dealer,Manual,First Owner,13.955273369904273,9.61587214452889
214,2016,450000,115962,Diesel,Individual,Manual,Second Owner,13.017005083966255,11.66102645369094
215,2015,590000,65000,Diesel,Dealer,Manual,First Owner,13.28787951079572,11.082157933374816
216,2017,800000,40000,Diesel,Individual,Manual,First Owner,13.592368256649284,10.596659732783579
217,2012,385000,58000,Diesel,Dealer,Manual,First Owner,12.861001210669146,10.968215530759236
218,2013,2000000,15000,Diesel,Individual,Automatic,First Owner,14.508658238524095,9.61587214452889
219,2012,235000,54000,Petrol,Dealer,Manual,First Owner,12.367345048436391,10.896757843893464
220,2017,640000,56000,Diesel,Dealer,Manual,First Owner,13.369225017834633,10.933124826700707
221,2006,52000,120000,Petrol,Individual,Manual,Third Owner,10.859018228147887,11.695255355062795
222,2009,80000,90000,LPG,Individual,Manual,Second Owner,11.289794413577894,11.407576060361786
223,2012,140000,70000,Petrol,Individual,Manual,Second Owner,11.849404844423074,11.156264806643742
224,2008,120000,90000,Petrol,Individual,Manual,Second Owner,11.695255355062795,11.407576060361786
225,2008,89999,213000,Diesel,Individual,Manual,First Owner,11.407564949312402,12.269052139516223
226,2012,180000,120000,Diesel,Individual,Manual,First Owner,12.100717685412471,11.695255355062795
227,2017,1500000,20000,Diesel,Individual,Manual,First Owner,14.220976332738882,9.90353755128617
228,2017,700000,10000,Petrol,Individual,Manual,First Owner,13.45883704259595,9.210440366976517
229,2012,285000,80000,Diesel,Individual,Manual,Second Owner,12.560247968016562,11.289794413577894
230,2015,390000,90000,Petrol,Individual,Manual,First Owner,12.873904582205107,11.407576060361786
231,2008,125000,80000,Petrol,Individual,Manual,First Owner,11.736077016252437,11.289794413577894
232,2008,225000,60000,Petrol,Individual,Manual,Second Owner,12.323860125621126,11.002116507732017
233,2011,175000,139000,Petrol,Individual,Manual,Second Owner,12.07254696717504,11.842236406331555
234,2011,1075000,160000,Diesel,Individual,Manual,Second Owner,13.887832149776026,11.982935344196433
235,2014,300000,150000,Diesel,Individual,Manual,First Owner,12.611541086966115,11.918397239722838
236,2010,700000,163000,Diesel,Individual,Manual,Fourth & Above Owner,13.45883704259595,12.001511614739405
237,2009,90000,120000,Diesel,Dealer,Manual,First Owner,11.407576060361786,11.695255355062795
238,2011,120000,120000,Diesel,Individual,Manual,Second Owner,11.695255355062795,11.695255355062795
239,2012,220000,100000,Diesel,Individual,Manual,Second Owner,12.301387370778713,11.51293546492023
240,2015,300000,140000,Diesel,Dealer,Manual,First Owner,12.611541086966115,11.849404844423074
241,2010,180000,87000,Diesel,Dealer,Manual,Second Owner,12.100717685412471,11.373674891823535
242,2013,170000,70000,Petrol,Individual,Manual,First Owner,12.04355959836804,11.156264806643742
243,2015,300000,50000,Petrol,Individual,Manual,Second Owner,12.611541086966115,10.819798284210286
244,2014,1050000,70000,Diesel,Individual,Manual,First Owner,13.864301674514206,11.156264806643742
246,2018,465000,25000,Diesel,Individual,Manual,First Owner,13.049794835104816,10.12667110305036
247,2011,130000,80000,Diesel,Individual,Manual,Second Owner,11.775297421715827,11.289794413577894
248,2018,434999,10000,Petrol,Individual,Manual,First Owner,12.983101310070822,9.210440366976517
249,2018,500000,32000,Petrol,Individual,Manual,First Owner,13.122365377402328,10.373522431293592
250,2018,200000,10000,Petrol,Individual,Manual,First Owner,12.206077645517674,9.210440366976517
251,2017,625000,52000,Petrol,Dealer,Manual,First Owner,13.345508528717259,10.859018228147887
252,2006,110000,120000,Diesel,Individual,Manual,Third Owner,11.608244735642321,11.695255355062795
253,2019,800000,11240,Petrol,Individual,Manual,First Owner,13.592368256649284,9.327323087461798
254,2017,490000,66000,Diesel,Dealer,Manual,First Owner,13.102162710901053,11.097425172408931
255,2017,880000,64000,Diesel,Dealer,Manual,First Owner,13.68767832281738,11.06665398721974
256,2013,290000,49000,Petrol,Individual,Manual,First Owner,12.577639650232573,10.799595985047786
257,2006,115999,100000,Diesel,Individual,Manual,Second Owner,11.661345470088502,11.51293546492023
258,2018,360000,26500,Petrol,Individual,Manual,First Owner,12.793862088206213,10.184937747111391
259,2002,65000,100000,Petrol,Individual,Manual,Second Owner,11.082157933374816,11.51293546492023
260,2017,685000,72000,Diesel,Dealer,Manual,First Owner,13.437175577097312,11.184435286790631
261,2009,300000,50000,Petrol,Individual,Manual,First Owner,12.611541086966115,10.819798284210286
262,2017,680000,44000,Diesel,Dealer,Manual,First Owner,13.429849547739444,10.691967639914864
263,2017,1000000,60000,Diesel,Individual,Manual,Second Owner,13.815511557963774,11.002116507732017
264,2002,100000,120000,Diesel,Individual,Manual,First Owner,11.51293546492023,11.695255355062795
265,2010,160000,130000,Diesel,Individual,Manual,First Owner,11.982935344196433,11.775297421715827
266,2017,450000,70000,Diesel,Individual,Manual,First Owner,13.017005083966255,11.156264806643742
267,2014,600000,20000,Petrol,Individual,Manual,First Owner,13.304686600863562,9.90353755128617
268,2009,180000,60000,Diesel,Individual,Manual,Second Owner,12.100717685412471,11.002116507732017
269,2007,100000,195000,Petrol,Individual,Manual,First Owner,11.51293546492023,12.180759965737863
270,2010,120000,90000,Petrol,Individual,Manual,Second Owner,11.695255355062795,11.407576060361786
271,2006,130000,80000,Petrol,Individual,Manual,Third Owner,11.775297421715827,11.289794413577894
272,2011,160000,155000,Petrol,Individual,Manual,First Owner,11.982935344196433,11.951186847493476
273,2019,860000,35000,Diesel,Individual,Manual,First Owner,13.664688831019712,10.463131911491967
274,2018,650000,20000,Petrol,Individual,Manual,Second Owner,13.384729180332174,9.90353755128617
275,2010,100000,80000,Petrol,Individual,Manual,Second Owner,11.51293546492023,11.289794413577894
276,2017,282000,20000,Petrol,Individual,Manual,First Owner,12.549665896013254,9.90353755128617
277,2009,300000,50000,Petrol,Individual,Manual,First Owner,12.611541086966115,10.819798284210286
278,2010,270000,110000,Petrol,Individual,Manual,Second Owner,12.506180941677357,11.608244735642321
279,2013,550000,29000,Diesel,Individual,Manual,First Owner,13.217675375388819,10.275085591132715
280,2013,450000,120000,Diesel,Individual,Manual,First Owner,13.017005083966255,11.695255355062795
281,2011,430000,70000,Diesel,Individual,Manual,Second Owner,12.971542813248437,11.156264806643742
282,2013,350000,40000,Petrol,Individual,Manual,First Owner,12.765691290604371,10.596659732783579
283,2017,350000,20000,Petrol,Individual,Manual,First Owner,12.765691290604371,9.90353755128617
284,2013,229999,50000,Petrol,Individual,Manual,Second Owner,12.345834587905333,10.819798284210286
285,2013,110000,50000,Petrol,Individual,Manual,First Owner,11.608244735642321,10.819798284210286
286,2012,395000,49000,Petrol,Individual,Manual,Second Owner,12.886643575525625,10.799595985047786
287,2011,650000,70000,Diesel,Individual,Automatic,Second Owner,13.384729180332174,11.156264806643742
288,2011,350000,90000,Diesel,Individual,Manual,Second Owner,12.765691290604371,11.407576060361786
289,2020,1400000,25000,Diesel,Dealer,Manual,First Owner,14.151983508870947,10.12667110305036
290,2018,360000,4000,Petrol,Individual,Manual,First Owner,12.793862088206213,8.294299608857235
291,2018,1300000,10000,Diesel,Individual,Manual,First Owner,14.077875591662238,9.210440366976517
292,2015,800000,15000,Diesel,Individual,Manual,First Owner,13.592368256649284,9.61587214452889
293,2018,229999,30000,Petrol,Individual,Manual,First Owner,12.345834587905333,10.308985993422082
294,2014,315000,41000,Petrol,Dealer,Manual,First Owner,12.660331092405906,10.62135173563291
295,2012,125000,28000,Petrol,Individual,Manual,First Owner,11.736077016252437,10.239995502805316
296,2019,700000,16000,Petrol,Individual,Manual,First Owner,13.45883704259595,9.680406499268875
297,2015,160000,70000,Petrol,Individual,Manual,First Owner,11.982935344196433,11.156264806643742
298,2017,530000,10832,Petrol,Dealer,Manual,First Owner,13.180634172318978,9.290352309945568
299,2018,624000,14681,Diesel,Dealer,Manual,First Owner,13.343907249914384,9.594377532670727
300,2009,250000,50000,Petrol,Individual,Manual,First Owner,12.429220196836383,10.819798284210286
301,2016,585000,51000,Diesel,Dealer,Manual,First Owner,13.279368835614243,10.839600519357369
302,2015,500000,25000,Petrol,Individual,Manual,First Owner,13.122365377402328,10.12667110305036
303,2014,350000,30000,Petrol,Individual,Manual,First Owner,12.765691290604371,10.308985993422082
304,2014,495000,80000,Diesel,Dealer,Manual,First Owner,13.112315061750808,11.289794413577894
305,2017,500000,50000,Petrol,Individual,Manual,First Owner,13.122365377402328,10.819798284210286
306,2015,430000,200000,Diesel,Individual,Manual,First Owner,12.971542813248437,12.206077645517674
307,2013,345000,44000,Petrol,Dealer,Manual,First Owner,12.75130259456002,10.691967639914864
308,2015,500000,10000,Petrol,Individual,Manual,First Owner,13.122365377402328,9.210440366976517
309,2019,425000,19600,Petrol,Individual,Manual,First Owner,12.959846800844963,9.883335864325275
310,2005,80000,40000,Petrol,Individual,Manual,Second Owner,11.289794413577894,10.596659732783579
311,2011,106000,50000,Diesel,Individual,Manual,First Owner,11.571203807011969,10.819798284210286
312,2009,180000,46730,Petrol,Individual,Manual,First Owner,12.100717685412471,10.752163034994716
313,2015,250000,40000,Petrol,Individual,Manual,Second Owner,12.429220196836383,10.596659732783579
314,2011,350000,80000,Diesel,Individual,Manual,First Owner,12.765691290604371,11.289794413577894
315,2002,60000,80000,Petrol,Individual,Manual,Second Owner,11.002116507732017,11.289794413577894
316,2018,900000,24000,Diesel,Individual,Manual,First Owner,13.710151153416941,10.085850775128717
